workflow_id,stage_id,stage_type,workload_id,workload_source,chromosome,region_start,region_end,region_size,variant_count,sample_count,dataset_size_mb,requested_cpu,requested_memory_mb,worker_count,runtime_seconds,actual_cpu,actual_memory_mb,success,timestamp
wf-genomic-all_500s-00,vcf_stats_chr22_small_500s,vcf_stats,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,1000m,1024.0,4,0.381,1.0,51.79,True,2026-09-22 12:19:26
wf-genomic-all_500s-00,filtering_chr22_small_500s,filtering,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,500m,1024.0,4,0.421,0.5,58.47,True,2026-09-22 03:06:26
wf-genomic-all_500s-00,variant_processing_chr22_small_500s,variant_processing,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,1000m,2048.0,1,0.423,0.411,28.0,True,2026-09-21 14:25:26
wf-genomic-all_500s-00,feature_extraction_chr22_small_500s,feature_extraction,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,2000m,256.0,2,0.409,0.721,30.82,True,2026-09-23 00:43:26
wf-genomic-all_500s-00,analysis_chr22_small_500s,analysis,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,250m,2048.0,2,0.37,0.25,33.87,True,2026-09-22 19:22:26
wf-genomic-all_500s-01,vcf_stats_chr22_small_500s,vcf_stats,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,1000m,2048.0,2,0.395,0.852,33.95,True,2026-09-20 14:24:26
wf-genomic-all_500s-01,filtering_chr22_small_500s,filtering,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,500m,512.0,2,0.425,0.5,33.15,True,2026-09-20 15:16:26
wf-genomic-all_500s-01,variant_processing_chr22_small_500s,variant_processing,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,2000m,512.0,2,0.382,0.798,32.55,True,2026-09-22 04:05:26
wf-genomic-all_500s-01,feature_extraction_chr22_small_500s,feature_extraction,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,1000m,1024.0,4,0.371,1.0,57.46,True,2026-09-22 12:12:26
wf-genomic-all_500s-01,analysis_chr22_small_500s,analysis,chr22_small_500s,genomic,22,16050000,16150000,100000,1170,500,0.0576,1000m,2048.0,2,0.379,0.826,32.96,True,2026-09-22 19:33:26
wf-genomic-all_full-00,vcf_stats_chr22_small_full,vcf_stats,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,250m,256.0,2,0.419,0.25,65.95,True,2026-09-22 06:24:26
wf-genomic-all_full-00,filtering_chr22_small_full,filtering,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,250m,1024.0,1,0.417,0.25,47.19,True,2026-09-21 22:18:26
wf-genomic-all_full-00,variant_processing_chr22_small_full,variant_processing,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,1000m,2048.0,4,0.372,1.0,95.52,True,2026-09-22 20:07:26
wf-genomic-all_full-00,feature_extraction_chr22_small_full,feature_extraction,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,250m,256.0,4,0.38,0.25,93.73,True,2026-09-21 09:13:26
wf-genomic-all_full-00,analysis_chr22_small_full,analysis,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,500m,1024.0,2,0.414,0.5,64.65,True,2026-09-20 15:07:26
wf-genomic-all_full-01,vcf_stats_chr22_small_full,vcf_stats,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,2000m,2048.0,1,0.389,0.427,56.07,True,2026-09-20 17:19:26
wf-genomic-all_full-01,filtering_chr22_small_full,filtering,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,2000m,256.0,1,0.383,0.427,49.18,True,2026-09-23 08:52:26
wf-genomic-all_full-01,variant_processing_chr22_small_full,variant_processing,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,2000m,1024.0,2,0.41,0.853,61.29,True,2026-09-21 16:12:26
wf-genomic-all_full-01,feature_extraction_chr22_small_full,feature_extraction,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,1000m,2048.0,2,0.43,0.729,65.25,True,2026-09-21 14:05:26
wf-genomic-all_full-01,analysis_chr22_small_full,analysis,chr22_small_full,genomic,22,16050000,16150000,100000,1170,2504,0.1703,500m,512.0,1,0.426,0.374,51.31,True,2026-09-22 13:54:26
wf-genomic-ium_100s-00,vcf_stats_chr22_medium_100s,vcf_stats,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,1000m,256.0,4,0.404,1.0,57.22,True,2026-09-23 09:52:26
wf-genomic-ium_100s-00,filtering_chr22_medium_100s,filtering,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,2000m,256.0,2,0.633,0.755,28.91,True,2026-09-20 19:15:26
wf-genomic-ium_100s-00,variant_processing_chr22_medium_100s,variant_processing,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,250m,1024.0,2,1.348,0.25,30.34,True,2026-09-20 20:32:26
wf-genomic-ium_100s-00,feature_extraction_chr22_medium_100s,feature_extraction,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,1000m,512.0,1,1.741,0.375,28.0,True,2026-09-21 08:52:26
wf-genomic-ium_100s-00,analysis_chr22_medium_100s,analysis,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,250m,1024.0,4,0.378,0.25,56.19,True,2026-09-21 02:06:26
wf-genomic-ium_100s-01,vcf_stats_chr22_medium_100s,vcf_stats,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,2000m,1024.0,1,0.731,0.413,28.0,True,2026-09-21 23:00:26
wf-genomic-ium_100s-01,filtering_chr22_medium_100s,filtering,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,1000m,512.0,1,1.069,0.416,28.0,True,2026-09-21 08:50:26
wf-genomic-ium_100s-01,variant_processing_chr22_medium_100s,variant_processing,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,2000m,256.0,1,2.16,0.433,28.0,True,2026-09-22 16:47:26
wf-genomic-ium_100s-01,feature_extraction_chr22_medium_100s,feature_extraction,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,2000m,2048.0,4,0.472,1.605,54.08,True,2026-09-22 20:40:26
wf-genomic-ium_100s-01,analysis_chr22_medium_100s,analysis,chr22_medium_100s,genomic,22,16050000,17050000,1000000,17985,100,0.4227,250m,512.0,2,0.745,0.25,30.87,True,2026-09-20 15:35:26
wf-genomic-ium_500s-00,vcf_stats_chr22_medium_500s,vcf_stats,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,1000m,2048.0,2,0.393,0.865,38.17,True,2026-09-20 15:05:26
wf-genomic-ium_500s-00,filtering_chr22_medium_500s,filtering,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,1000m,2048.0,4,0.432,1.0,59.8,True,2026-09-22 17:55:26
wf-genomic-ium_500s-00,variant_processing_chr22_medium_500s,variant_processing,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,250m,512.0,2,1.389,0.25,40.89,True,2026-09-21 04:15:26
wf-genomic-ium_500s-00,feature_extraction_chr22_medium_500s,feature_extraction,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,1000m,1024.0,1,1.694,0.419,28.0,True,2026-09-22 18:27:26
wf-genomic-ium_500s-00,analysis_chr22_medium_500s,analysis,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,500m,1024.0,1,1.177,0.362,28.59,True,2026-09-21 15:11:26
wf-genomic-ium_500s-01,vcf_stats_chr22_medium_500s,vcf_stats,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,500m,2048.0,4,0.413,0.5,66.73,True,2026-09-23 08:23:26
wf-genomic-ium_500s-01,filtering_chr22_medium_500s,filtering,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,1000m,256.0,2,0.61,0.859,42.27,True,2026-09-21 01:15:26
wf-genomic-ium_500s-01,variant_processing_chr22_medium_500s,variant_processing,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,500m,256.0,1,2.586,0.362,28.0,True,2026-09-22 07:23:26
wf-genomic-ium_500s-01,feature_extraction_chr22_medium_500s,feature_extraction,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,1000m,512.0,4,0.453,1.0,61.95,True,2026-09-22 23:14:26
wf-genomic-ium_500s-01,analysis_chr22_medium_500s,analysis,chr22_medium_500s,genomic,22,16050000,17050000,1000000,17985,500,0.8977,1000m,512.0,4,0.371,1.0,60.14,True,2026-09-21 19:58:26
wf-genomic-ium_full-00,vcf_stats_chr22_medium_full,vcf_stats,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,250m,512.0,4,0.386,0.25,120.38,True,2026-09-22 11:11:26
wf-genomic-ium_full-00,filtering_chr22_medium_full,filtering,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,2000m,512.0,4,0.385,1.7,114.94,True,2026-09-23 03:57:26
wf-genomic-ium_full-00,variant_processing_chr22_medium_full,variant_processing,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,1000m,1024.0,1,4.523,0.431,74.78,True,2026-09-22 08:22:26
wf-genomic-ium_full-00,feature_extraction_chr22_medium_full,feature_extraction,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,2000m,256.0,4,0.498,1.534,117.95,True,2026-09-20 23:23:26
wf-genomic-ium_full-00,analysis_chr22_medium_full,analysis,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,250m,256.0,4,0.379,0.25,102.15,True,2026-09-21 10:06:26
wf-genomic-ium_full-01,vcf_stats_chr22_medium_full,vcf_stats,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,250m,1024.0,2,0.44,0.25,91.24,True,2026-09-21 05:18:26
wf-genomic-ium_full-01,filtering_chr22_medium_full,filtering,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,250m,512.0,4,0.407,0.25,115.21,True,2026-09-20 23:06:26
wf-genomic-ium_full-01,variant_processing_chr22_medium_full,variant_processing,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,2000m,512.0,1,4.435,0.42,77.35,True,2026-09-23 06:16:26
wf-genomic-ium_full-01,feature_extraction_chr22_medium_full,feature_extraction,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,2000m,256.0,2,0.89,0.775,83.71,True,2026-09-21 01:48:26
wf-genomic-ium_full-01,analysis_chr22_medium_full,analysis,chr22_medium_full,genomic,22,16050000,17050000,1000000,17985,2504,2.9661,250m,512.0,2,0.782,0.25,94.72,True,2026-09-22 19:28:26
wf-genomic-rge_100s-00,vcf_stats_chr22_large_100s,vcf_stats,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,500m,512.0,1,4.156,0.399,35.27,True,2026-09-21 21:02:26
wf-genomic-rge_100s-00,filtering_chr22_large_100s,filtering,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,250m,1024.0,4,1.818,0.25,67.1,True,2026-09-20 18:06:26
wf-genomic-rge_100s-00,variant_processing_chr22_large_100s,variant_processing,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,250m,512.0,2,8.011,0.25,51.76,True,2026-09-22 05:07:26
wf-genomic-rge_100s-00,feature_extraction_chr22_large_100s,feature_extraction,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,1000m,1024.0,2,5.919,0.844,51.08,True,2026-09-23 08:40:26
wf-genomic-rge_100s-00,analysis_chr22_large_100s,analysis,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,500m,256.0,2,4.038,0.5,47.86,True,2026-09-22 12:24:26
wf-genomic-rge_100s-01,vcf_stats_chr22_large_100s,vcf_stats,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,2000m,256.0,2,2.469,0.79,48.83,True,2026-09-21 23:27:26
wf-genomic-rge_100s-01,filtering_chr22_large_100s,filtering,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,500m,1024.0,1,6.327,0.427,36.66,True,2026-09-21 13:39:26
wf-genomic-rge_100s-01,variant_processing_chr22_large_100s,variant_processing,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,1000m,1024.0,4,3.819,1.0,74.93,True,2026-09-22 18:39:26
wf-genomic-rge_100s-01,feature_extraction_chr22_large_100s,feature_extraction,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,500m,512.0,2,5.703,0.5,50.32,True,2026-09-21 16:42:26
wf-genomic-rge_100s-01,analysis_chr22_large_100s,analysis,chr22_large_100s,genomic,22,16050000,20050000,4000000,109665,100,2.6762,1000m,1024.0,4,2.153,1.0,70.81,True,2026-09-23 03:53:26
wf-genomic-rge_500s-00,vcf_stats_chr22_large_500s,vcf_stats,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,250m,512.0,2,2.591,0.25,79.45,True,2026-09-20 20:38:26
wf-genomic-rge_500s-00,filtering_chr22_large_500s,filtering,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,500m,1024.0,4,1.79,0.5,107.1,True,2026-09-22 21:29:26
wf-genomic-rge_500s-00,variant_processing_chr22_large_500s,variant_processing,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,250m,1024.0,1,16.882,0.25,64.21,True,2026-09-20 14:09:26
wf-genomic-rge_500s-00,feature_extraction_chr22_large_500s,feature_extraction,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,2000m,256.0,2,5.491,0.799,87.79,True,2026-09-22 04:52:26
wf-genomic-rge_500s-00,analysis_chr22_large_500s,analysis,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,1000m,512.0,2,4.408,0.876,86.65,True,2026-09-21 23:37:26
wf-genomic-rge_500s-01,vcf_stats_chr22_large_500s,vcf_stats,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,2000m,512.0,2,2.374,0.832,78.43,True,2026-09-21 07:25:26
wf-genomic-rge_500s-01,filtering_chr22_large_500s,filtering,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,1000m,512.0,4,1.913,1.0,104.3,True,2026-09-22 07:09:26
wf-genomic-rge_500s-01,variant_processing_chr22_large_500s,variant_processing,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,1000m,1024.0,4,4.369,1.0,99.53,True,2026-09-23 09:30:26
wf-genomic-rge_500s-01,feature_extraction_chr22_large_500s,feature_extraction,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,500m,1024.0,4,3.079,0.5,114.29,True,2026-09-23 11:26:26
wf-genomic-rge_500s-01,analysis_chr22_large_500s,analysis,chr22_large_500s,genomic,22,16050000,20050000,4000000,109665,500,5.8054,250m,512.0,1,8.194,0.25,75.23,True,2026-09-23 13:39:26
wf-genomic-rge_full-00,vcf_stats_chr22_large_full,vcf_stats,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,1000m,1024.0,1,4.715,0.42,227.42,True,2026-09-21 10:39:26
wf-genomic-rge_full-00,filtering_chr22_large_full,filtering,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,2000m,256.0,4,2.095,1.524,278.58,True,2026-09-23 00:34:26
wf-genomic-rge_full-00,variant_processing_chr22_large_full,variant_processing,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,250m,1024.0,1,25.117,0.25,203.72,True,2026-09-20 19:21:26
wf-genomic-rge_full-00,feature_extraction_chr22_large_full,feature_extraction,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,250m,256.0,1,10.103,0.25,230.03,True,2026-09-22 01:42:26
wf-genomic-rge_full-00,analysis_chr22_large_full,analysis,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,500m,256.0,4,2.167,0.5,236.86,True,2026-09-21 12:24:26
wf-genomic-rge_full-01,vcf_stats_chr22_large_full,vcf_stats,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,2000m,1024.0,4,1.332,1.647,251.13,True,2026-09-23 08:57:26
wf-genomic-rge_full-01,filtering_chr22_large_full,filtering,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,250m,256.0,2,3.676,0.25,239.63,True,2026-09-20 19:56:26
wf-genomic-rge_full-01,variant_processing_chr22_large_full,variant_processing,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,250m,2048.0,2,13.822,0.25,233.28,True,2026-09-20 20:58:26
wf-genomic-rge_full-01,feature_extraction_chr22_large_full,feature_extraction,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,500m,1024.0,1,9.157,0.387,231.31,True,2026-09-23 08:11:26
wf-genomic-rge_full-01,analysis_chr22_large_full,analysis,chr22_large_full,genomic,22,16050000,20050000,4000000,109665,2504,19.8364,250m,1024.0,1,8.059,0.25,214.83,True,2026-09-21 04:01:26
<<<<<<< HEAD

=======
wf-test-1,qc,vcf_stats,chr22_qc,genomic,22,16050000,16150000,100000,1170,2504,0.174,500m,1024.0,2,1.25,0.35,28.5,True,2026-09-23 12:00:00
wf-col-1,filtering,filtering,chr22_filtering,genomic,22,16050000,16150000,100000,1500,2504,0.17,1000m,2048.0,4,15.0,0.88,45.0,True,2026-09-23T13:54:38.871331
wf-test-1,qc,vcf_stats,chr22_qc,genomic,22,16050000,16150000,100000,1170,2504,0.174,500m,1024.0,2,1.25,0.35,28.5,True,2026-09-23 12:00:00
wf-col-1,filtering,filtering,chr22_filtering,genomic,22,16050000,16150000,100000,1500,2504,0.17,1000m,2048.0,4,15.0,0.88,45.0,True,2026-09-23T13:55:00.975566
wf-test-1,qc,vcf_stats,chr22_qc,genomic,22,16050000,16150000,100000,1170,2504,0.174,500m,1024.0,2,1.25,0.35,28.5,True,2026-09-23 12:00:00
wf-col-1,filtering,filtering,chr22_filtering,genomic,22,16050000,16150000,100000,1500,2504,0.17,1000m,2048.0,4,15.0,0.88,45.0,True,2026-09-23T14:00:31.161921
>>>>>>> 7a9de9c1505bb7839e834f195fb148778d6108b1
